specific,general
creative asisstant,
fashion stylist,
fashion stylist intern,
salesperson,
marketplace operation intern,
marketplace operation jr speci,
e-commerce global marketplace,
kidemli gorsel tasarim uzmani,
ketchup loyalty marketing agen,
strategic planning intern,
sales - marketing intern,
sales support specialist,
account planning executive,
project marketing specialist,
university membe,
senior marketeer and business,
is yeri / isletme sahibi,
assistant regional sales manag,
dispatcher,
kameraman,
asistan,
musteri iliskileri uzmani,
stil danismani,
tommy life,
dijital pazarlama ve iletisim,
shuba magazine,
arama motoru optimizasyonu,
fen ve teknoloji ogretmeni,
ykm reporting senior,
budget and reporting specialis,
budget and reporting manager,
depo yonetim uzmani,
second manager,
stajyer satin alma muhendisi,
e-commerce assistant category,
donemlik personel,
kurumsal pazalama uzmani,
account excutive,
operasyon sistem uzmani,
kalite ve is gelistirme uzman,
damage consulting,
administrative affairs and pur,
procurement responsible,
administrative affairs and pro,
senior procurement specialist,
marketing communication direct,
marketing executive,
senior fashion and public rela,
editor,
fashion and beauty assistant,
muhasebe uzman yardimcis,
butce ve finansal raporlama uz,
butce ve finansal raporlama ki,
butce ve finansal raporlama mu,
sistem destek elemani,
junior e-commerce specialist,
sales & marketing merchandiser,
apparel sales & marketing merc,
export sales & marketing team,
city fashion/outerwear merch,
tasarim/ur-ge development merc,
urun yonetimi ve planlama uzma,
arama motoru optimizasyonu (se,
marketing merchandiser,
outerwear and woven buyer,
cevre-satis muhendisi,
insan kaynaklari destek uzmani,
it ise alim uzman yardimcisi,
it ise alim uzman,
seo/sem specialist,
seo specialist,
danisman sanat direktoru,
moda fotografcisi,
personel ozlukisleri elemani,
ithalatihracatsorumlusu,
research & marketing,
consultant in research & insig,
senior insight enabler,
human resources assistant spec,
recruitment specialist,
hr business partner,
senior people partner,
urun yonetimuzmani,
orme kumas gelistirme ve kalit,
is etudu vemetod sorumlusu,
store merchandiser,
senior buyer & asst. buying ma,
studyo cekim asistani,
studyo sorumlusu,
studyo asistani ve urun soruml,
grafiker/retoucher,
raporlama sorumlusu,
garment asistani,
strateji ve planlama,
pattern designer,
women and young group designer,
kids wear designer,
icerik editoru,
stajyeri,
iletisim danismani,
operations supervisor,
sq & ops programs specialist a,
cccg frontline advisor,
project product engineer,
sr. merchandiser,
production responsible,
production specialist,
unit manager,
it sales specialist,
freelance it specialist/web de,
web administrator  and projec,
lojistik operasyon uzmani,
ihracat gumruk sorumlusu,
dosya ve evrak sorumlusu,
assistant portfolio management,
strategy & marketing senior sp,
growth specialist,
aksesuar kategori uzman yardim,
aksesuar kategori uzmani,
marie claire monthly magazine,
basatap monthly magazine edit,
stuff monthly magazine-fashion,
fashion editor,
tempo-fashion editor,
corporate communication specialist,
global pr sr. specialist,
bcw client manager,
business controller,
genel muhasebe uzman yardimcisi,
ise alim ve yetenek uzmani,
organizasyonel gelisim ve yetenek,
yetenek kazanimi uzmani,
manager assistant,
veri yonetim uzmani,
center for statistical researc,
direct procurement specialist,
direct procurement assistant s,
regulatory affairs assistant s,
process validation enginer),
jr. mp development specialist,
mp development specialist,
conversation ai designer,
musteri hizmetleri uzmani,
satis operasyon uzman yardimci,
insan kaynaklari uzman yardimc,
magaza satis danismani ve kasi,
e-commerce specialist,
customer service representativ,
translator/subtitler,
front desk specialist,
waterpark attendant,
application consultant,
senior operations & strategy s,
project analyst,
ekip elemani,
ui/ux designer,
urban planner,
ui / ux designer,
ui / ux gorsel tasarimci,
finans &kredi tahsilat,
finansal analiz,
ic kontrol-mali kontrol,
saha satis sorumlusu,
yurtdisi satis planlama ve ope,
procurement assistant manager,
merchandiser / buyer,
marketing assistant,
organizasyon yoneticisi,
marka muduru & genel koordinat,
saha operasyon memuru,
yurtdisi operasyon uzman yardi,
yurtdisi satis operasyon uzman,
accounting&reporting senior sp,
accounting&compliance reportin,
previous positions,
credit analyst,
chief financial officer,
financial consultant for netwo,
independent contracting experi,
rehber ogretmen,
tedarik zinciri kalite ve yali,
teaching assistant (ta),
assistant psychologist,
salesmanager,
erp project manager,
project team leader,
senior client consultant,
jr.art director,
ogretim gorevlisi (dsu),
art director (freelancer),
senior art director (freelance,
yetenek yonetimi & egitim uzma,
kidemli insan kaynaklari uzman,
assistant coordinator,
part-time teacher,
country sales manager,
online brand manager,
satis pazarlama eleman,
english language teacher,
lifeguard work and travel pr,
universite ogrencileri arastir,
satis ve pazarlama temsilcisi,
planning and data analyst inte,
ux internship,
yayin koordinatoru,
ithalat elemani,
ithalat ihracat operasyon uzma,
jr financial operation special,
surec gelistirme uzman yardimc,
icerik paylasimi,
insan kaynaklari stajyerligi,
restoran servis elemani,
finance trainee,
cevre muhendisi,
kalite surec-proses kontrol mu,
takim lideri,
ar-ge departmani,
kontrol denetim birimi sorumlu,
danisma ve iletisim,
operation specialist,
e-commerce assistant specialis,
marketplace operation speciali,
purchasing specialist,
second lieutenant,
e-commerce executive,
software engineer,
electrical project engineer,
purchasing engineer,
order manager,
e-commerce executive,
canta tasarimi ve sosyal medya,
kidemli bordro ve ozluk isleri,
bordro ve ozluk isleri sorumlu,
hr assistant manager,
hr senior specialist,
hrbp senior lead,
ambalaj makinesi operatoru,
magaza sorumlu yardimcisi,
production planning engineer,
site yonetimi,
content creator,
sales department,
senior assistant auditor,
accounting coordinator,
ap coordinator,
kidemli insan kaynaklari is or,
yurtici satis temsilcis,
alacak takip elemani,
icra takip elemani,
avukat asistani,
kurumsal iletisim sorumlusu,
sigorta portfoy yoneticileri,
banka satis kocu,
bolge satis sefi,
ozel musteriler satis sorumlus,
senior recruitment consultant,
senior human resources busines,
satis destek ve operasyon uzma,
crm uzmani,
experience tax assistant,
tax support unit assistant,
sales expert,
sales assistant,
crm and data analyst,
kapi gorevlisi,
import / export responsible,
international sales executive,
jr. business analyst,
makam soforlugu,
garaj amirligi,
lean specialist,
warehouse engineer,
ef specialist,
project engineer,
production and planning engine,
dijital pazarlama yonetimi,
tax assistant,
tax experienced assistant,
e-commerce marketing specialis,
economic advisor,
talent acquisition assistant s,
global human rescources specia,
international store merchandis,
retail supplier,
digital transformation senior,
change management people & cu,
project management project co,
satis ve operasyon asistani,
logistics platoon commander,
transportation logistics offic,
logistics field service compan,
transport network design speci,
value creation executive,
e ticaret uzmani,
kidemli e ticaret uzmani,
e ticaret uzman yrd.,
pep intern / cost accounting,
accounts payable specialist,
teknik bakim elemani,
yapimci,
hr process associate,
ucretlendirme ve yan haklar uz,
muhasebe yoneticisi,
genel muhasebe ve vergi yoneti,
organizational development sen,
organizational development man,
corporate communications assis,
corporate communications speci,
senior corporate communication,
corporate communications execu,
yurt ici fason planlama soruml,
finans asistani,
organization committee preside,
global business development as,
banker,
e-ticaret operasyon yoneticisi,
e-ticaret urun veri girisi / k,
uzman yardimcis,
dijital icerik yoneticisi,
butce ve raporlama uzman,
kidemli butce ve raporlama uzm,
teknik proje mudur yardimcisi,
uretim planlama ve stok kontro,
uretim planlama ve lojistik mu,
stok kontrol ve planlama muhen,
planlama memur,
maliyet kontrol uzman yardimc,
etkilesim uzma,
concierge,
lojistik,
financial advisor assistant,
accounting specialist-cpa,
logistics development speciali,
teknik destek,
network uzmani,
bilgi islem uzmani,
test teknikeri,
yazilim uzman yardimcisi,
it destek personeli,
system support specialist,
information tech. intern,
system engineer,
veri hazirlama personeli,
teknik personel,
web developer&graphic design m,
fornt and developer,
web developer&front end develo,
sn. web uzmani,
bilisim mduru,
bilisim muduru,
sistem sorumlusu,
kidemli yazilim uzmani,
koordinator,
web yazilim uzmani,
yazilim gelistirme sorumlusu,
yazilim gelistirme uzmani,
floorwalker,
is gelistirme,
yazilim gelistirme direktoru,
yazilim genel muduru,
yazilim muduru,
yazilim muhendisi,
sn. bussiness architect,
analytical banking manager,
software specailist,
analist,
kidemli is analisti,
sistem analisti,
bilgisayar muhendisi,
kidemli yazilim uzmani,
montajci yardimcisi,
satiis elemani,
web gelistirici,
hsse asistan,
business intelligence jr.,
business development and plann,
business intelligence speciali,
it ve proje yoneticisi,
planlama ve satinalma muhendis,
analiz uzman yardimcisi,
jr. developer,
service manager,
kullanici destek sorumlusu,
system specialist,
network support specialist,
network destek elemani,
temizlik personeli,
it destek,
it mt,
tasarim muhendisi,
software developer,
proje asistani,
egitim asistani,
forum yoneticisi,
bilgisayar muhendisi stajyer,
it uzmani,
egitim destek uzmani,
teknik servis,
yazilim gelistirme uzman yrd.,
dis kaynak yazilim uzmani,
yazilim destek uzmani,
yazilim elemani,
veritabani yoneticisi,
kidemli yazilim gelistirme,
proje analisti,
analist yazilimci,
bilge islem sorumlusu,
bilge islem elemani,
deva holing projesi,
defacto teknoloji,
business intelligence,
yazilim test muhendisi,
outsource danisman,
analiz ve test takim lideri,
yazilim gelistirme,
software development,
chief infirmation officer,
direktor,
business operations unit manag,
turkcell,
account delivery manager,
account support manager,
system support engineer,
digital equitment corporation,
is zekasi uzmani,
analist programci,
is zekasi uzman yardimcisi,
perakende analitigi,
allacator,
is zekasi danismani,
stratejik planlama ve is glstr,
bilgi islem elemani,
teknik servis teknisteni,
web master,
sistem yoneticisi,
siber guvenlik lideri,
system administrator,
arayuz yazilim uzmani,
web onyuz gelistirme uzmani,
verus bilisim,
bilgisayar programcisi,
allc. strateji&sur. gel. uzm y,
business analytics specialist,
data analyst,
businessintellingence engineer,
hr business development,
bilgi teknolojileri uzman yar.,
veri ambari uzmani,
dynamics ax functional&team,
campaing preparation,
project functional&team leader,
veritabani destek uzman,
veritabani uzman,
veritabani uzmani,
analiz ve raporlama,
uzman yazilim muhendisi,
bilgi teknolojileri/it uzmani,
web arayuz yazilim uzmani,
web arayuz uzmani,
web yazilim uzman yardimcisi,
yazilim mimari,
donanim teknisyeni,
group it manager,
it operations manager,
it project manager,
business solution manager,
it project leader,
it systems analyst,
junior programmer,
as service delivery manager,
as onsite support engineer,
senior it specialist,
network&system support as.,
servis yonetimi uzmani,
service desk supervisor,
it sistem destek uzmani,
sharepoint uzmani,
sharepoint yazilimcisi,
bilgi teknolojileri uzmani,
wep portal yoneticisi,
tur rehberi,
nework engineer,
networl & voice engineer,
networl operations center mana,
trainer,
senior process specialist,
itil expert,
security manager,
kidemli uzman yazilim muhendis,
yazilim gelistirme yonetmeni,
kidemli yazilim muhendisi,
customer care representative,
is zakasi danismani,
computer technician,
intern engineer,
web development,
web interface developer,
developer,
erasmus intern,
trainigs and business experien,
software specialist,
software support specialist,
noc engineer,
network consualtant,
field application engineer,
network and security expert,
senior network engineer,
firma ortagi,
yazilim gelistrime uzmani_jr,
software developer senior,
senior front-and developer,
yurt mudur yardimcisi,
ucretli ogretmenlik,
sistem destek uzmani,
teknik destek elemani,
bilgisayar egitmeni,
yazilim takim lideri,
bilgisayar muhendis,
kidemli danisman,
uygulama danismani,
yazilim gelistirme stajyeri,
bilisim uzmani,
bilgi islem sistem yoneticisi,
sistem project leader,
teknik servis elemani,
notebook uretim gorevlisi,
yazilim gelistirme muhendisi,
software development specialis,
bilgi islem analisti,
veri ambari kidemli uzmani,
hasta iliskileri elemani,
organizasyon lideri,
bilgi sistemleri uzmani,
junior software developer,
senior software developer,
software development consultan,
market kasiyeri,
system and network staff,
software intern,
canditate engineer,
junior yazilim gelistirme uzm.,
web gelistirme asistani,
mutfak calisani,
asp.net yazilim uzmani,
yazilim egitmeni,
egitmen ve yazilim danismani,
is analisti uzman yard.,
asistan danisman,
etl gelistirici,
junior developer,
yazilim muhendisi stajyeri,
sofftware developer,
jr. business intelligence spec,
kidemli analist,
mobil uygulama gelistiricisi,
sql uzmani,
sistem uzmani,
kalite dokumantasyon sorumlusu,
stok kontrol sorumlusu,
senior sharepoint developer&an,
middle sharepoint developer&an,
jr sharepoint developer,
yazilim gelistirme elemani,
entity framework,
st. and process dev. assistant,
erp project sp. assistant,
is yonetimi sist. ekip lideri,
kidemli yazilim gel uzmani,
bilgi islem uzmani ve yazilim,
software programmer,
yazilim gelistirici,
yazilim gelistirici-stajyer,
veri tabani muhendisi-stajyer,
yazilim gelistirme uzm yardimc,
sistem gelistirici,
ar-ge ve kalite kont muduru,
marmara bayi sorumlusu,
bilgisayar muh(yonetici),
senior business analyst,
intern engineer,
yardim masasi uzmani,
yardim masasi elemani,
bilgi teknolojileri danismani,
principal cyber security engin,
information security com. lead,
information security engineer,
teknoloji danismani,
product management specialist,
software developer specialist,
software developer freelence,
database engineer,
databaseadministrator,
system and network administrat,
system support specialist,
sorbil computersupport service,
it support consultant,
android developer,
software engineering specialis,
full stack developer,
frontend developer - flash app,
it manager - webmaster,
full stack web developer,
senior software engineer,
senior software project manage,
senior software developer,
operational support specialist,
dotnet developer,
proje ve saha muhendisi,
donanim & web yazilim ve gelis,
network muhendisi,
software consultant,
teknik hizmetler uzmani,
bilisim teknolojileri uzmani,
bilisim danismani,
bilgi islem elemani,
ar-ge ve yeni urun gelistirme,
assistant database specialist,
software development specialis,
web developer,
part time calisan(web hizmetle,
gonullu calisan,
uzman bilgisayar muhendisi,
sistem muhendisi,
full stack software developer,
web arayuz gelistirici,
web arayuz gelistiricisi,
bilgi islem muhendisi,
system network administrator,
network system specialist,
sistem destek uzman yardimcisi,
it business analyst,
product owner - sap hr & basis,
strategic planning analyst,
business development operation,
bilgi guvenligi uzmani,
bilgisyar teknisyeni,
web uygulama tasarimcisi,
web gelistirme uzmani,
back-end developer,
sooware specialist,
senior sooware developer,
sfs uzmani,
frontend developer & digital m,
software development team lead,
software engineer (ms c# and a,
snmp(simple network management,
yazilim gelistirme (outsource),
test muhendisi,
erp projesi,
eticaret projesi,
is analisti proje yonetimi,
it supervisor,
information management,
it software manager,
big data developer,
sn software developer,
principal software devo. engin,
sn software engineer,
yonetici yazilim uzmani,
network specialist,
technical support engineer,
software specialist,
strategist,
stis sonrasi sistem muhendisi,
satis oncesi sistem muhendisli,
teknik servis departmani stajy,
web sitesi icerik yoneticisi,
arge yazilim gel. uzmani,
arge kid. yazilim gel. uzmani,
jr software developer,
yazilim  uzmani,
bilgi teknolojileri / it uzman,
analytical crm specialist,
analytical crm assistant speci,
crm operation assistant specia,
crm & business dev long term,
maintenance,
senior business intelligence c,
business intelligence sp,
yazilim tasarim uzmani,
yazilim stajyeri,
yazilim gelistiricisi,
santez (danismanlik),
product owner,
part time assistant,
test uzmani,
java yazilim uzmani,
veri tabani yoneticisi,
test analisti,
kidemli bilgi guvenligi uzmani,
bilgi guvenligi kidemli uzmani,
bilgi guvenligi yoneticisi,
bilgi guvenligi ve test uzmani,
senior developer,
snr. software developer,
application developer,
junior software engineer,
web arayuz yoneticisi,
fen ve teknoloji ogretmeni,
senior business analyst,
sales operations specialist,
business development engineer,
english teacher,
software development responsib,
social media account manager,
yazilim gelistirme uzmani yrd,
yazilim analisti,
sistem muhendisi,
senior business analysis & dat,
organizational development acc,
process & performance manageme,
finance & hr systems software,
design and development enginee,
yazilim gelistirme sorumlusu,
mobil uygulama gelistiricisi,
yazilim gelistirme uzman yardi,
junior yazilim gelistirme uzma,
yazilim destek elemani,
erp financial applications con,
information technologies inter,
depo ve sevkiyat,
veri giris pers.,
pmo head,
expert project manager,
senior product manager,
senior project manager,
project management specialist,
yazilim test muhendisi,
ar-ge uzun donemli stajyeri,
veri analizi - surec modelleme,
web gelistirme uzmani,
veri bilimci,
bilgisayar muhendisi,
arge stajyeri,
kidemli yazilim muhendisi,
kidemli yazilim gelistirme uzm,
analist yazilimci,
erp uzman yardimcisi,
kidemli is zekasi uzmani,
surec / proses gelistirme uzma,
bilgi teknolojileri / it uzman,
bilgi islem asistani,
sistem uzmani,
teknik destek uzmani,
bilgi teknolojileri stajyeri,
yazilim muhendisi,
yedek subay,
fullstack developer,
yazilim gelistirme muhendisi,
arastirma gelistirme,
sistem analisti,
is zekasi uzmani,
bilgi islem uzmani,
bilgi islem destek uzmani,
yazilim danismani,
teknik eleman,
it sistemleri uzmani,
cozum gelistirme uzmani,
is analisti,
yazilim gelistirme uzmani,
matematik ogretmeni,
sap abap danismani,
sap abap yazilimcisi,
proje koordinatoru,
software development engineer,
is analisti uzmani,
yazilim test uzmani,
information security services,
business development,
risk business development lead,
senior manager/risk advisory,
head of internal audit,
various assignments and locati,
information gathering and diss,
analysis and terminal area sec,
additional military experience,
yazilimgelistirmeelemani,
business intelligence consulta,
business intelligence engineer,
business intelligence data ana,
turknetiletisimhizmetleria.s.,
veritabani uzman yardimcisi,
bilgisayar teknisyeni,
big data bi & business analyt,
businessanalyst,
i.b.b. isbaka.s.,
parttimepersonnel,
analystdeveloper,
yazilim proje sorumlusu,
phimajor solutions,
sharepoint & msproject develop,
yazilim stajeri,
junior software developer,
projemuhendisi,
sekercioglu insaat,
stajyer denetci,
isanalisti,
sapdanismani,
software test specialist,
analysis and reporting,
chemist / sales and e-commerce,
yazilimgelistirmeuzman yardimc,
fraud personeli,
cagri merkezi uzmani,
cagri merkezi musteri temsilci,
kidemli yazilimuzmani,
yazilimgelistirmeuzmani,
web yazilimuzmani,
yazilim gelistirme elemani,
master data management special,
assistant student,
sistem destek muhendisi,
geometri ogretmeni,
stajyer ogrenci,
ogrenci asistani,
stok uzman sorumlusu,
otel idari isler muduru,
muhasebe ve satin alma uzmani,
electrical automation,
bordro veozlukisleri elemani,
hastadanismani,
muhasebeasistani,
muhasebeelemani,
arastirmauzmani,
krediler yetkilisi,
sigortauzmani,
operasyon destekelemani,
backenddeveloper,
yazilim gelistirici,
lojistik gorevlisi-stajyer,
retail product&planning,
reporting specialist,
senior merchandise planner,
kontrolor mimar,
santife sefi,
section manager,
outlet area manager,
area manager,
sn.general & personel accoutin,
treasury&accouunting specialis,
limited sti,
kidemli kategori uzmani,
gida disi kategori uzmani,
satin alma proje asistani,
marka elcisi,
tresury analyst,
dmo data analyst,
financial reporting specialist,
sales asistance,
internal control assicuate,
human resources specialist,
payroll expert,
assistant payroll expert,
malzeme planlama sorumlusu,
envanter yonetimi uzman yar.,
dis iliskiler sorumlusu,
kidemli muhasebe uzmani,
grafik tasrim elemani,
administrator,
sales manager,
senior accountant,
officer,
senior specialist,
financial analyst,
customer advisor,
accounting assistant,
team player and public relatio,
organization committee,
reception manager,
architect,
marketing analysis department,
marketing analyst,
personnel affairs specialist,
hr generalist for company grou,
country hr generalist,
assistant of finance director,
accountant assistent,
payroll accountant,
seniour accountant,
technical support specialist,
leading specialist,
accountant assistant,
accounting specialist,
logistic manager,
store vm,
store vm in stradivarius store,
head vm oodji kazakhstan,
country vm manager,
hr-specialist,
lawyer,
legal adviser,
general counsel,
director of legal department,
hra assistant,
logistic specialist,
secretary and visa-manager,
chief accountant,
ar accountant,
office manager,
english teacher,
senior financial analyst,
cosmatice,
tax consultant,
data scientist,
business analyst,
data analyst,
